date,heading,article_content
2022-02-04T11:20:30Z,Liverpool stars Mohamed Salah and Sadio Mane to face off in AFCON final,"Liverpool teammates 
and Sadio Mane will come face to face in the Africa Cup of Nations (AFCON) final after Egypt booked its place in Sunday’s game. 
    

            
 was awaiting the winner of Thursday’s semifinal between Cameroon and Egypt and, despite the host having the better chances, it was the Pharaohs who progressed on penalties. 
    

            Egyptian goalkeeper Mohamed Abou Gabal produced two brilliant saves in the shootout before Cameroon’s Clinton Njie fired his penalty wide of the post to send Egypt through after a goalless draw. 
    

            Egypt will now be bidding for a record-extending eighth AFCON title while Senegal looks to win its first. 
    

            Sunday’s final will also be the first of three matches between the two sides in the coming months with the teams pitted against each other in a two-legged playoff for a place in this year’s World Cup in Qatar. 
    

            Both Salah and Mane have spearheaded Liverpool’s success in recent seasons and they now carry the hopes of their nations on their backs. 
    

            Neither have been in lightning form during this year’s tournament but both have still scored goals, Mane netting three times and Salah twice. 
    

            

    

            Senegal last reached an AFCON final in 2019, eventually losing 1-0 to Algeria, and the current crop of players will certainly be feeling the weight of expectation to finally end the country’s wait for a title. 
    

            The current team – the top-ranked side on the continent – is full of talented players, representing clubs such as Paris Saint-Germain, Chelsea, Liverpool and Bayern Munich.
    

            “Experience is a good asset,” Mane said. 
    

      
      

      

    

            “I think that has always been the case since the start of this tournament. We suffered so much with a lot of Covid cases and several injuries too.
    

            “We had a very difficult time, but with our experience, we kept calm until we recovered the whole group.
    

            “We played a final last time, so we have experience and we will try to win this trophy.”
    

            Egypt, meanwhile, have surprised many by making it so far in the tournament and have scraped through games without producing much exciting football. 
    

            Perhaps crucially, Egypt will be without manager Carlos Queiroz on the sideline for the final after the former Manchester United assistant was sent off for arguing with the referee in Thursday’s match. 
    

            Queiroz has been pivotal in making this Egyptian side hard to beat but will now watch from behind the scenes as the country looks to make yet more history. 
    

            It will once again look to rely on Salah who has been one of the best players in the world this season. 
    

            “We are happy, it’s true, but we have not yet reached the final objective,” Egypt’s assistant coach, Diaa Elsayed, said after the match. 
    

            “I can also add that our background is also due to the presence of one of the great players, namely Mohamed Salah. A very essential player in our team and who remains the centerpiece for us.”
    

            Salah posted videos to his Instagram story of the Egyptian players celebrating their semifinal victory on the team bus, but he will be looking to go one further to establish himself further as a serial winner."
2014-12-09T15:11:22Z,Spanish judge imposes temporary ban on Uber taxi service,"A judge in Madrid temporarily halts Uber operations in Spain
Taxi drivers' association argues that Uber is unfair competition and lacks proper licenses
It is expected to file a formal complaint before the court; Uber can then make its case

            A Spanish judge on Tuesday temporarily banned cell phone-based taxi service Uber from operating in Spain after a complaint brought by taxi drivers in the capital, Madrid.
    

            The judge issued the ban, the equivalent of a temporary injunction, on the grounds that Uber was deemed to be causing damage to the taxi industry, a court spokesman said.
    

            The hearing was in response to a complaint by the Madrid taxi association, which argued that Uber is unfair competition and also lacks the proper municipal licenses to operate a taxi service.
    

            The Madrid taxi association is expected now to file a formal lawsuit with the court, after gathering more documents and information, the court spokesman said.
    

            Legal arguments for Uber were not heard before the judge because the company is located outside of Spain, in the U.S. state of Delaware, and the taxi industry was seeking immediate relief, he said.
    

            The company is expected to have a chance to argue its points before the judge when the formal lawsuit is filed.
    

            The Madrid ruling comes on the same day that 
 after an Uber driver was accused of raping a woman in New Delhi.
    

            Transport authorities in New Delhi on Monday 
, saying their investigation revealed the company was violating permit rules.
    

  CNN’s Al Goodman reported from Madrid and Elwyn Lopez from Atlanta, while Laura Smith-Spark wrote in London."
2020-04-03T14:24:02Z,"English Premier League players ‘thrown under a PR bus’ by clubs, says Gary Lineker","Adored by millions of fans around the world, 
 suddenly find themselves in an unusual position – a lightning rod for criticism from both the public and politicians amid the coronavirus pandemic.
    

            Earlier this week, Tottenham Hotspur, Newcastle United, Norwich City and Bournemouth announced they would be using 
–  intended to aid those employers most severely affected by the Covid-19 shutdown – to help pay the wages of non-playing members of staff placed on temporary leave.
    

            However, with the 20 Premier League clubs sharing the spoils of the current multi-billion dollar TV rights deal, many questioned why the players – who earn on average £3 million ($3.7 million) per year – weren’t helping foot the bill.
    

            “I think everybody needs to play their part in this national effort and that means Premier League footballers too,” British Health Secretary Matt Hancock said during Thursday’s daily coronavirus briefing.
    

            “Given the sacrifices people are making, including some of my colleagues in the NHS, who have made the ultimate sacrifice and gone into work and caught the disease and have sadly died, I think the first thing Premier League footballers can do is make a contribution; take a pay cut and play their part.”
    

            

    

            The Professional Footballers Association (PFA) – the players’ union in England – has been holding talks with the Premier League and the English Football League (EFL) over soccer’s response to Covid-19 and one former leading player Gary Lineker, who now works as a TV pundit, told CNN that the football stars were convenient scapegoats for politicians.
    

            “We do tend to have a go at footballers quite easily,” former England international Gary Lineker told Richard Quest. “They’re easy game. Yes, they get paid a lot of money, but I’m sure they want to help. 
    

            “They’re consistently very good in the communities and I’m sure over the coming days that footballers will stand up and be counted, either taking pay cuts or making donations to charities or staff workers that are non-playing. 
    

            “So, I’m confident that will happen, but it takes time and everyone here is jumping on the bandwagon. Politicians do tend to do that occasionally, especially at football’s expense – so, if I’m wrong, then I’ll be as critical as everybody else.”
    

            In a statement released on Friday, the Premier League said it planned to start a consultation exercise with top-flight players.
    

            “In the face of substantial and continuing losses for the 2019/20 season since the suspension of matches began, and to protect employment throughout the professional game, Premier League clubs unanimously agreed to consult their players regarding a combination of conditional reductions and deferrals amounting to 30% of total annual remuneration.
    

            “The League will be in regular contact with the PFA, and the union will join a meeting which will be held tomorrow [April 4] between the League, players and club representatives.”
    

            

    

            This week, Barcelona and Atletico Madrid players took a 70% wage cut to ensure that all non-playing members of staff continue to get paid a full salary during the pandemic, while Juventus’ first-team squad has given up 100% of its wages for four months to save the club $100 million.
    

            “I think one or two of our clubs have kind of thrown their players under a PR bus in many ways by announcing that they’re cutting staff salaries and putting them on furlough, but not affecting the players’ wages,” said Lineker.
    

            “That was not announced by the players, but it was announced by the clubs, so let’s wait and see. Let’s be a little bit patient here. Let’s not all jump on the judgment high horse and just wait and see how it pans out over the next week or so. 
    

            “I’m confident and I would be very disappointed if the players don’t do the right thing, but I’m sure they will.”
    

            

    

            The PFA called an urgent meeting on March 27 with the Premier League and the EFL to ensure the salaries of footballers in the third and fourth tiers – whose wages, it says, are “closer to the national average” – were protected for April.
    

            “Many of these players will have contracts ending in June,” the PFA said in a statement on Thursday. “These are often people with young families, for whom their immediate financial position is uncertain.”
    

            While TV money has funded handsome salaries for many players, it’s arguably also benefited the super-rich owners of the 20 Premier League clubs, whose combined wealth totals close to $85 billion, according to Forbes.
    

            Which is why the the PFA says that while it is aware of the public’s belief that players should give up their salaries to pay the wages of non-playing members of staff, it reiterated its stance that if clubs can afford to pay both, then they should continue to do so.
    

            “The players we have spoken to recognize that the non-playing staff are a vital part of their club and they do not want to see club staff furloughed unfairly,” it said. “Any use of the government’s support schemes without genuine financial need is detrimental to the wider society. 
    

            “In instances where clubs have the resources to pay all staff, the benefit of players paying non-playing staff salaries will only serve the business of the club’s shareholders.”"
2016-12-27T16:53:56Z,Welsh football team equals Ajax’s 44-year-old world record,"Welsh side has won 26 consecutive matches 
Ajax set record in 1971-72 season 
The New Saints can break it on Dec 30

            Chelsea may be grabbing all the headlines with its impressive 12-match winning streak in the English Premier League, but that’s nothing compared to a team across the border in Wales.
    

            The New Saints FC notched a 26th consecutive win in the Welsh Premier League on Monday to equal the world record by set Dutch giant Ajax during 1971-72 Eredivisie season. 
    

            The four-time European champion tweeted its congratulations to the Welsh side, which cruised to a 4-0 victory over Cefn Druids in front of a home crowd. 
    
great achievement guys! Happy Boxing Day! 👊

            “It’s been a bit of a shock that we’ve got to this stage,” club chairman Mike Harris told CNN’s World Sport show Tuesday.  
    

            “We’d recognized that we’d got to the longest run of games in our league a few weeks ago when we passed the Bangor City total, but we still thought we had a bit of a way to go.”
    

            Harris and the club were only made aware of the feat when the Guinness Book of Records got in touch before the crucial match on Boxing Day.   
    

            

    

            “That got everyone a little bit on edge, but obviously the game went in our favor so we managed to get over that last hurdle,” Harris said. 
    

            “I think the players are a great set of players and you’ve also got to give great testimony to our manager Craig Harrison, who is very professional in the way that he treats every single game, every training session and in his selection of players he’s put together over the last few years.” 
    

            Harrison’s team has emulated an Ajax side that, featuring the great Johan Cruyff, went on to complete the treble in 1972 by winning the Eredivisie, the Dutch Cup and the European Cup – the precursor to today’s Champions League. 
    

            TNS, by comparison, has never made it past the qualifying rounds of the continent’s top club competition in 10 attempts.
    

      
      

      

    

            Now 21 points clear at the top of the 12-team Welsh Premier League, the team can break the world record when it plays second-bottom Cefn Druids again on Friday. 
    

            

    

            “There’s a lot of hard work going on in the Welsh Premier League,” said Harris, whose team has won the title for the past five seasons. 
    

            “It’s a very young league compared to the more established leagues in Europe, but the clubs have worked really, really hard over the last 20 years to keep pushing forward. 
    

            

    

            “It’s nice to get some recognition for all the hard work that’s gone on over that time.”"
2018-08-03T09:25:17Z,Andy Murray withdraws from Citi Open after grueling 3 a.m. victory,"Murray says he is exhausted after two three-set encounters in two days
The former No. 1 is returning from hip injury

            An emotional Andy Murray sobbed into his towel on the side of the court after a grueling victory over world No. 93 Marius Copil in Washington – a game that finished at 3 a.m. Friday local time.
    

            Hours later, tournament organizers confirmed
 that Murray had withdrawn from Washington’s Citi Open due to fatigue and would not play in the quarterfinals. He also will not compete in the Rogers Cup next week in Toronto, they said.
    

            “I’m exhausted after playing so much over the past four days, having not competed on the hard courts for 18 months,” Murray said in a statement. “I also need to be careful and to listen to my body as I come from a long-term injury.”
    

            Murray, who continues his return from hip surgery, overcame the Romanian 6-7 6-3 7-6 in his second three-set encounter in two days, having previously defeated fellow Briton Kyle Edmund. 
    
No words, 
. 
Just thanks for your emotions... 😍🙏
 

            “Just the emotions coming at the end of an extremely long day and a long match,” Murray, 31, said of his reaction to the Copil match, after which he sat crying into his towel for several minutes. 
    

            The former world No. 1 had to dig deep after conceding a 5-0 advantage in the first-set tie break to lose 7-5, but Murray twice broke Copil in the second set to force a decider.
    

            

    

            The pair shared breaks in the third set, and as the clock ticked on later into the night, Murray eventually emerged victorious (7-4) in the final tie break – at 3:01 a.m.
    

            The three-time grand slam winner has slipped to world No. 832 during his injury rehab and is now chasing his first ATP title since March 2017. 
    

            

    

            Murray would have faced Alex de Minaur in the quarterfinals in Washington. The Australian defeated South Korea’s Hyeon Chung 6-2 4-6 6-2."
2023-02-24T09:54:29Z,Sevilla goalkeeper Marko Dmitrović punched by pitch invader during Europa League match at PSV Eindhoven,"Sevilla’s 2-0 loss to PSV Eindhoven in Thursday’s 
 match turned ugly when a pitch invader ran on the field and punched the Spanish club’s goalkeeper Marko Dmitrović at the Philips Stadium in Eindhoven, the Netherlands.
    

            Towards the end of the match, which resulted in PSV being eliminated from the tournament 3-2 on aggregate, the spectator can be seen on video walking up to Dmitrović before throwing a punch at his head.
    

      
      

      

    

            The 6-foot-4-inch Serbian goalkeeper quickly pinned down the pitch invader before security personnel arrived and escorted the assailant off the field.
    

            Dmitrović, who made the start in goal after starter 
 was scratched late due to illness, stayed in the game after the incident.
    

            “He pushed me from behind and then came and got in my face and tried to hit me,” Dmitrović said of the incident. 
    

            “He grazed the side of my nose a little and then honestly, I wanted to hit him back but it’s never pretty. If he really wants to fight let’s go to an event or a sport like boxing or anything. Here, in this sport, these things aren’t deserved but alas.
    

      
      

      

    

            “There’s always fans who are drunk and crazy and an idiot who assaults. This shouldn’t happen and I hope they punish him and anyone else who assaults anyone on the pitch in the future.”
    

            Six-time champion Sevilla cruised past PSV Eindhoven 3-0 in the first leg of the playoff, leaving the Dutch side with a tall task heading into Thursday night’s match.
    

            In the second leg, Luuk de Jong netted a goal in the 77th minute for PSV Eindhoven. 
    

            After the Dmitrović incident, substitute Fabio Silva doubled PSV’s lead five minutes into stoppage time but it was too little, too late as the full-time whistle would be blown shortly after.
    

            Despite the second-leg loss, Sevilla advances to the Round of 16."
2017-05-09T12:49:10Z,Chris Froome’s bike ‘totaled’ by hit-and-run driver,"Froome rammed by motorist while out riding his bike 
Three-time Tour de France winner says bike is ""totaled""
Froome was training near his home in Monaco

            Three-time Tour de France winner Chris Froome has been knocked off his bike in a hit-and-run incident while training near Monaco.
    

            The British cyclist, who won the Tour in 2013, 2015 and 2016, tweeted a picture of his crumpled bike on Tuesday but confirmed he hadn’t been injured.
    

            He said: “Just got rammed on purpose by an impatient driver who followed me onto the pavement! Thankfully I’m okay. Bike totaled. Driver kept going!”
    
Just got rammed on purpose by an impatient driver who followed me onto the pavement! Thankfully I'm okay 🙏 Bike totaled. Driver kept going! 

            The Briton was riding in Beausoleil, close to his home in Monaco, when the incident took place. He is currently in training ahead of the Critérium du Dauphiné, an eight-day race in southern France that starts on June 4.
    

            

    

            

    

            The Critérium du Dauphiné forms part of the Kenyan-born cyclist’s preparations for his attempt to win a hat-trick of Tour de France titles, when the world’s most prestigious road race returns for its 104th edition.
    

            Italian cyclist and 2011 Giro d’Italia winner Michele Scarponi was killed in April when he was hit by a van when out on a training ride near his home in Filottrano, on the east coast.
    

            “This is a tragedy too big to be written,” his team Astana said in a statement about Scarponi, who had two young children with his wife Anna.
    

      
      

      

    

            Froome is a divisive figure in France.
    

            With the 
 still hanging over the Tour, Froome has been repeatedly accused of doping even though he insists he has always raced clean.
    

            He has been shouted at and spat on during the race, with one fan even throwing a cup of urine over him during the 2015 installment and calling him a doper.
    

            In an eventful race last year, Froome was fined for lashing out at a spectator who ran too close to him and decided to briefly jog up the famous Mont Ventoux after a crash wiped out his bike.
    

            The 31-year-old Froome says he sees himself as a spokesman for clean cycling and insists the recent controversy surrounding Team Sky will not affect his legacy.
    

            His team has been rocked by a UK Anti-Doping inquiry after revelations that a mystery package was delivered to Bradley Wiggins at an event shortly before his 2011 Tour win.
    

            Team Sky boss Dave Brailsford appeared before a Parliament select committee to reveal the decongestant Fluimucil was in the package bound for Wiggins. 
    

            Questions have also been asked about how Team Sky used therapeutic use exemptions (TUEs), which are essentially doctor’s notes enabling athletes to use medicines that would otherwise be banned.
    

            Wiggins has come under particular scrutiny over his use of TUEs for the banned anti-inflammatory drug triamcinolone as well as that package that was delivered by British Cycling coach Simon Cope during the 2011 Criterium du Dauphine tour.
    

            Wiggins has yet to publicly comment on the UKAD inquiry though in March he told Sky Sports’ Soccer AM show: “Fortunately there’s an investigation and I obviously can’t say too much because that will run its course and then I’ll have my say.
    

            “There’s a lot to say and it’s going to shock a few people.” 
    

            

    

            Team Sky have constantly maintained that while they may have handled the situation badly, nothing untoward took place."
2019-09-20T05:26:55Z,Nine years of austerity have stripped thousands of disabled Brits of support they need to survive,"Sarifa Patel’s 500-foot trip to her nearest bus stop takes half an hour. Walking is painful and she needs several breaks. Patel, who lives in east London, has a wheelchair, but since undergoing surgery a few years ago she no longer has the strength to push herself.
    

            The 60-year-old doesn’t want to give up her part-time job at a charity, so requested a mobility scooter through a government scheme aimed at helping disabled people access employment. She has been waiting for three years.
    

            A decade of austerity policies and deep cuts to social services and 
 in the United Kingdom has made it difficult for people like Patel to access the care they need. A 2018 report by a UN human rights expert said government policy has “
 … on people with disabilities who are already marginalized.”
    

            The future is also uncertain. New UK Prime Minister Boris Johnson has pledged more money for the cash-strapped National Health Service. Johnson’s hardline approach to Brexit, however, increases the likelihood of the country leaving the European Union without a deal, with potentially damaging economic consequences 
    

            According to forecasts by the 
 and the 
, a no-deal Brexit would likely push the UK into a deep recession and put public spending under pressure. It was the last recession, sparked by the global financial crisis in 2008, that led to the austerity measures that the UN says have decimated Britain’s social services.

    

            For Patel, the situation is difficult now. She 
, a long-term condition that causes pain, muscle spasms and stiffness. Sometimes it is so bad she can’t walk at all. 
    

            “I’ve been really struggling with my knees, but they’ve not listened to me,” she says of her scooter request.
    

            The UK government’s Department of Work and Pensions (DWP), which is responsible for disability benefits, would not comment on Patel’s individual case.
    

      
      

      

    

            If Patel really needs to go somewhere, her only option is to take a cab. Patel spends roughly £200 ($242) a month on taxis. It’s money she says she wouldn’t have to spend if she wasn’t disabled.
    

            That’s a common story. Scope, a UK disability charity, said the average “disability price tag” comes to £583 ($706) a month. 
    

            “That’s the amount disabled people have to spend on things that non-disabled people don’t need,” James Taylor, Scope’s head of policy, told CNN.
    

            This figure includes buying and repairing special equipment, as well as spending money on everyday goods and services that disabled people have to use a lot more often, Taylor said. 
    

            The extra cost has grown in recent years. Following the global economic crisis, successive UK governments attempted to save money by reforming Britain’s welfare system. 
    

            These changes were meant to make the system leaner and more streamlined, replacing “outdated” benefits with new ones. But the reform proved difficult for many people living with disabilities.
    

            “It was designed as more cost-effective and less generous,” Taylor said. 
    

            “We are finding people who were getting the previous benefit are no longer able to get the new one, so there is a group of disabled people who have been hit very hard,” he added.
    

            Latest available DWP 
 show that as of last October, 47% of people who were receiving the old disability benefit, known as Disability Living Allowance, had their payments reduced or scrapped altogether after transferring to the new system, called Personal Independence Payment.
    

            That is intentional: the government expected the reform would mean around 
.
    

      
      

      

    

            It said that the point was to make the system more sustainable and focused on those with the greatest needs.
    

            A DWP spokesperson said the new system is better because it is “taking a much wider look at the way a person’s health condition or disability impacts them on a daily basis.” 
    

            But Scope said some disabled people have lost £300 to £400 a month because of the changes. “That has a huge impact on what they’re able to afford, and the quality of life that they have,” Taylor said. 
    

            Most people switching to the new system have to go through an official assessment to determine the level of care and mobility assistance they need. 
    

            The requirements became stricter under the new system. For example, it used to be that anyone unable to walk 50 meters (164 feet) without aid would qualify for higher mobility support payments.
    

            Under the new system, only people who can’t 
. That means that those who can walk over 20 meters but not 50 have suddenly had their payments slashed, even though their condition has not changed.
    

            A DWP spokesperson said the rule was not set in stone and that even people who can walk more than 20 meters can still get the higher rate if they “cannot do so safely, to an acceptable standard, repeatedly or in a reasonable time period.”
    

            Patel was “downgraded” in 2016. She slumped from “higher” to “standard” support rates, resulting in more than £60 cut to her weekly payments. 
    

            “And then when I spoke to the wheelchair services people, they said I should be able to buy a scooter from the mobility benefit,” Patel said. She said a scooter or electric chair 
. Even if she was able to put money aside, it would take her years to save up enough to buy one. 
    

            She has tried to have the decision to lower her payments overturned and got a new assessment from a different doctor. She is now waiting for a tribunal.
    

      
      

      

    

            The tribunal odds are on Patel’s side. According to the Ministry of Justice, 
 against disability payments decisions are successful.
But the appeal process is time consuming, taking on average almost a year. In the meantime, the person appealing is stuck without funds. 
    

            “It inflicts hardship on people, because in many cases, most or a large portion of their income is withdrawn,” said Sara Reis, research and policy officer at the UK Women’s Budget Group, a research organization. 
    

            “And there will be many people who won’t go through the appeal process because it’s an onerous thing and it can be daunting, intimidating to stand before a tribunal and state your case,” she added.
    

            While she awaits that decision, Patel hopes that when her next big muscle spasm comes, she won’t be out and about. Freezing up in the street makes her feel vulnerable. 
    

            “I get really frustrated and angry because I can be walking… and the next minute, my muscle spasms up in my leg, and it becomes like a pencil… it’s frightening.”"
2023-09-23T06:08:25Z,"Never ‘insult Poles again,’ Poland’s prime minister tells Ukraine’s Zelensky","Poland’s Prime Minister Mateusz Morawiecki has told Volodymyr Zelensky never to “insult Poles again” after the 
 president suggested his neighbor was putting on a show over their disputes on grain exports.
    

            The Polish leader fired back at Zelensky after the Ukrainian leader offered a veiled criticism of Poland at the United Nations’ general assembly this week, saying the dispute was “political theater” and that “some of our friends in Europe” have “made a thriller from the grain.”
    

            On Friday, at a rally in Swidnik, Poland, Morawiecki hit back.
    

            “I want to tell President Zelensky never to insult Poles again, as he did recently during his speech at the UN,” he said.
    

            “The Polish people will never allow this to happen, and defending the good name of Poland is not only my duty and honor, but also the most important task of the Polish government,” the Polish prime minister added.
    

      
      

      

    

            The comments by Morawiecki risk deepening the divisions between two countries that have previously been close allies united against Russia’s invasion of Ukraine.
    

            Tensions between them have been rising in recent weeks over a ban on Ukrainian grain, initially put in place earlier this year by several EU nations to protect the livelihood of local farmers worried about being undercut by the low price of Ukrainian grain.
    

            The EU announced plans to suspend the ban last week but 
 – alongside Hungary and Slovakia – said it would stick with it, sparking protests from Ukraine, which filed lawsuits against the three countries, and, subsequently, Zelensky’s comments at the UN.
    

            Poland immediately condemned Zelensky’s comments at the UN and its foreign ministry summoned the Ukrainian ambassador to convey its “strong protest.” Hours later, the Polish prime minister said in a blunt social media statement that the country would “no longer transfer weapons to Ukraine because we are now arming Poland.”
    

            That had seemed to indicate a major change in policy: until now, Poland has been one of the most forthright countries in the race to get weapons and resources into Ukrainian hands.
    

            But Polish President Andrzej Duda on Thursday moved to walk back his prime minister’s comments, saying they were “interpreted in the worst possible way.”
    

            He said Morawiecki had merely been referring to new weapons being purchased for the Polish army, and that older weapons systems Warsaw deems not necessary for modernizing its own military could still be shipped across the border.
    

            NATO and European sources 
 that the Polish stance may be an attempt to woo farmers with elections due next month. 
    

            Poland has long been one of Ukraine’s staunchest allies, alongside multiple former Eastern bloc nations which fear they could be next if Russian President Vladimir Putin’s expansionist war is successful.
    

            In another sign of disenchantment over Ukraine in Eastern Europe, Hungarian Foreign Minister Peter Szijjarto has said new sanctions against Russia are not needed because they “cause more harm to Europe than Russia.”
    

            Szijjarto made the comments in an interview with Russian state media TASS on Friday following his meeting with Russian Foreign Minister Sergei Lavrov on the sidelines of the United Nations General Assembly in New York. 
    

            “If we look at the sanctions from a pragmatic point of view, we see that they cause more harm to Europe than to Russia,” he said, according to TASS, adding that “the new packages of sanctions are not necessary.” 
    

            Szijjarto also said that supplies of Ukrainian grain to Central European countries will destroy their agricultural sector. 
    

            “If Ukrainian grain starts to spread into Central European countries, it will definitely destroy the agricultural markets of Central Europe. Not to mention our farmers, whom we obviously need to protect,” Szijjarto continued, as cited by TASS."
2017-06-22T10:04:55Z,Step inside the kitchen of an F1 masterchef,"Michael Caines fueling F1 drivers
Award-winning chef works for Williams F1

            When Michael Caines lost his right arm in a car accident in 1994, the dream of becoming a top-level chef seemed a million miles away.
    

            Twenty-three years and two Michelin stars later, he hasn’t just become one of his industry’s most distinguished figures, he’s also fueling some of the fastest drivers in the world.
    

            A partner and ambassador for Formula One team Williams Martini Racing, the 48-year-old hosts the team’s sponsors, engineers and drivers on race weekends. 
    

            “I grew up watching Williams dominate in that era of Nigel Mansell and Damon Hill being made World Champions for this great racing team,” says Caines, who has built an empire of 
 in the United Kingdom.
    

            “You see your heroes on TV and think ‘wow!’ … and the next thing you know, you find yourself in the paddock. 
    

            “It is one of those pinch-yourself moments”
    

            F1 has a relentless race calendar which runs from March to November and stops in 20 major cities. But from Australia to Abu Dhabi, the Brit shows it’s possible to produce top-quality cuisine on the move. 
    

            “They say an army marches on its stomach and Williams is no exception,” Caines tells CNN The Circuit. 
    

            “We’ve got to produce nutritious and healthy food for the drivers, but we’ve also got to provide for the sponsors over the F1 weekend.” 
    

            His team designed a purpose-built motorhome four years ago to deliver a bespoke product for the Williams team and its numerous guests.  
    

            It can be quickly assembled at any location on the F1 circuit to deliver the optimum culinary experience, with a ground floor brasserie and first floor Michael Caines Tasting Experience.
    

            It might not be perfect, but as the chef puts it: “We get pretty close to what I do in my restaurants here on the track!”
    
Want to see what happens in the Williams Martini Racing kitchen? Williams TV takes you behind the scenes with 
 in Monaco. 

            

    

            Caines stresses the importance of a good diet for drivers, especially since this year’s new rulings have made the sport even more physically demanding. 
    

            Even if Williams drivers Felipe Massa and Lance Stroll probably won’t be troubling the top of the drivers’ standings at the end of this season, there’s little doubt the British team is well catered for especially, says Caines, when compared with what their rivals offer. 
    

            “There’s no competition!” laughs Caines. “We out-qualify all of them!”
    

            “Toto Wolff will tell you. The first thing he said when he went to Mercedes was ‘we want our hospitality to be just like Williams’.”
    

            

    

            Not that Massa and Stroll are devouring
 before races. 
    

            Because drivers are out on the road so much, the most important ingredient is a taste of home.
    

            Both eat at a particular time on race weekends – “written in as part of the day” – and tend to not change their diet. 
    

            Stroll, an F1 debutant of Canadian descent, typically eats quinoa and high protein fish, like salmon or cod. 
    

            Massa, the first Brazilian since Ayrton Senna to win his home Grand Prix, rarely deviates from a dish of roast chicken, wild rice and tomato salad.
    

            “Everyone has to be made to feel welcome,” says Caines. “When they’re not having to worry about racing, they’ll also indulge off the menu!”
    

            

    

            The chef admits sponsors are “so key to survival” for today’s F1 teams.
    

            It’s a fact Williams has embraced, going through 2,000 bottles of Prosecco over the course of the 2016 season.
    

            “If results aren’t always what they should be on the track, at least through hospitality you can give the sponsors a great experience throughout the race weekend,” says Caines. 
    

            “I’m always thinking about how we can bring in different themes to different grands prix, whether that’s the cocktails or the food. 
    

            “We always try to influence that with the wine choices as well – English wines going alongside some of the dishes too.”
    

            The opportunity to experiment is offset by the difficulty obtaining ingredients in some race locations. 
    

            He praises the produce on offer in Monaco, lauding “the fantastic larder of fantastic seafood and salads,” but adds it can be slightly more challenging cooking in the likes of Russia and Hungary. 
    

            Still, with opportunity to watch races in between his cooking, Caines is in no doubt as to just how lucky he is. 
    

            “I derive a lot of satisfaction from the fact that something I loved as a kid is something I’m now in touch with,” he smiles. 
    

            

    

            “It’s a team sport and it goes without saying that everyone involved with Williams is here to support the team to go on, race and hopefully win.”"
